"","AGE","LocFit","MEAN(of_boot)","0.05","0.95"
"1",-50,0.21481395083206,0.214055483917311,-0.102598742438928,0.51642724131118
"2",-30,0.197575382041806,0.197106950580375,-0.0995024064962133,0.472339559271888
"3",-10,0.181188083298762,0.18102573401599,-0.0917984854242305,0.444820775157309
"4",10,0.165687941070375,0.165843512086773,-0.0876783791640687,0.417436061416397
"5",30,0.151110841824092,0.151591962655337,-0.0916840794486898,0.39230281282795
"6",50,0.13749267202736,0.138302763584297,-0.0903872794678637,0.3662828203528
"7",70,0.124869318147627,0.126007592736269,-0.0903053222319556,0.342476676032044
"8",90,0.113276666652339,0.114738127973867,-0.0867534499277815,0.319772148742985
"9",110,0.102750604008944,0.104526047159707,-0.0945201175538335,0.308414801944495
"10",130,0.0933270166848887,0.0954030281564019,-0.0993405459527932,0.294595233076351
"11",150,0.0850417911476205,0.087400748826568,-0.105117166582862,0.287343496162342
"12",170,0.0779308138645865,0.0805508870328199,-0.111572458791316,0.275340168088106
"13",190,0.0720299713032337,0.0748851206377723,-0.111198918587057,0.268689964911719
"14",210,0.0673751499310093,0.0704351275040401,-0.114200260183716,0.256950456951326
"15",230,0.0640022362153605,0.0672325854942383,-0.119836756685112,0.254831125257567
"16",250,0.0619471166237344,0.0653091724709816,-0.121597440431487,0.258660785948465
"17",270,0.0612456776235781,0.064696566296885,-0.124802050895121,0.260738884132554
"18",290,0.0619338056823388,0.0654264448345632,-0.124852227973876,0.263057636169728
"19",310,0.0640473872674636,0.0675304859466312,-0.123584742662706,0.267771366974567
"20",330,0.0676099280704529,0.0710272635181971,-0.121417020672274,0.270332808270021
"21",350,0.0721682773523803,0.0754898901078868,-0.116076370845754,0.271614467701019
"22",370,0.0774138544863499,0.080631880105893,-0.112565790098207,0.278275948157014
"23",390,0.0832567179491698,0.0863651527744321,-0.106717624820743,0.282224700199801
"24",410,0.0896069262176484,0.0926016273757204,-0.101852449350438,0.287565821418192
"25",430,0.0963745377685938,0.0992532231719743,-0.0963259446889065,0.29588395330908
"26",450,0.103469611078814,0.10623185942541,-0.0895518598106984,0.301814920932467
"27",470,0.110802204625118,0.113449455398244,-0.0852218222079461,0.310210645859282
"28",490,0.118282376884314,0.120817930352692,-0.0776784182779258,0.314685770287781
"29",510,0.125820186333209,0.128249203550971,-0.0722003276975993,0.323923958322747
"30",530,0.133325691448612,0.135655194255297,-0.0686454044442065,0.333850446823549
"31",550,0.140708950707332,0.142947821727886,-0.0607497478958533,0.339950350734127
"32",570,0.147880022586176,0.150039005230955,-0.0504034796035765,0.347586417006044
"33",590,0.154748965561953,0.15684066402672,-0.0419757695774163,0.355797134846536
"34",610,0.161225838111471,0.163264717377398,-0.0360335529025577,0.364820774785951
"35",630,0.167220698711539,0.169223084545204,-0.0311977005762523,0.37256503758017
"36",650,0.172643605838963,0.174627684792354,-0.0295780660482528,0.379307049989823
"37",670,0.177404617970554,0.179390437381067,-0.0235037758759481,0.383062517714437
"38",690,0.181413793583119,0.183423261573556,-0.0154581950867181,0.388091580509698
"39",710,0.184613057853053,0.18666523419502,-0.0142564305973807,0.390230899144438
"40",730,0.187274106800465,0.189323488170711,-0.0106645707227777,0.392131710602631
"41",750,0.189480987905261,0.191467764398655,-0.00954332621402702,0.394270830489708
"42",770,0.191235182014618,0.193104672666697,-0.00595445322327911,0.392034552609313
"43",790,0.192538169975713,0.194240822762683,-0.00108720897032569,0.393987840009964
"44",810,0.193391432635725,0.194882824474457,0.000407752375710218,0.393282877589147
"45",830,0.19379645084183,0.195037287589864,0.00501479936192265,0.393027768217237
"46",850,0.193754705441207,0.194710821896751,0.00656398478774813,0.387818261864502
"47",870,0.193267677281032,0.193910037182962,0.0109934385174297,0.383337691700913
"48",890,0.192336847208484,0.192641543236343,0.00966553988879295,0.376596494839687
"49",910,0.19096369607074,0.190911949844738,0.0099630411863064,0.37463866037757
"50",930,0.189149704714977,0.188727866795994,0.00866962136776774,0.369685715787843
"51",950,0.186896353988373,0.186095903877955,0.00701477516646229,0.361647282794322
"52",970,0.184205124738105,0.183022670878467,0.00779645747052617,0.355668375450005
"53",990,0.181077497811352,0.179514777585374,0.00878867518409038,0.349573455851181
"54",1010,0.17751495405529,0.175578833786523,0.00679483145912041,0.34431659426567
"55",1030,0.173518974317098,0.171221449269758,0.00732771473126222,0.336783984692077
"56",1050,0.169091039443952,0.166449233822925,-0.00427703431131538,0.329446246604154
"57",1070,0.164232630283031,0.161268813474531,-0.0152421959707151,0.320550753869458
"58",1090,0.158991565729637,0.15575336382758,-0.0199296112142397,0.310613104533032
"59",1110,0.153611082923512,0.150157304029661,-0.0260513387174743,0.304075285732921
"60",1130,0.148175948362503,0.144557617926042,-0.0267684088597555,0.301439155652927
"61",1150,0.142744717629226,0.139008022496009,-0.0294438146243383,0.29582826720866
"62",1170,0.137375946306301,0.133562234718848,-0.0371246663278585,0.288316344268903
"63",1190,0.132128189976344,0.128273971573845,-0.0412034160557903,0.282475980820692
"64",1210,0.127060004221973,0.123196950040284,-0.0450690360096246,0.278206280552256
"65",1230,0.122229944625805,0.11838488709745,-0.0529686661605349,0.271392235070452
"66",1250,0.11769656677046,0.113891499724631,-0.0577159239206474,0.265677786205995
"67",1270,0.113518426238553,0.109770504901109,-0.0631771347974674,0.259889779791566
"68",1290,0.109754078612703,0.106075619606172,-0.0624505860534039,0.256256075341015
"69",1310,0.106462079475527,0.102860560819105,-0.0625687399278134,0.252823195798626
"70",1330,0.103700984409643,0.100179045519193,-0.0653333853411731,0.247619068293149
"71",1350,0.101529348997669,0.0980847906857206,-0.0640684099726893,0.241136922951753
"72",1370,0.100005728822222,0.0966315132979743,-0.0610999013656028,0.234515246556848
"73",1390,0.0991886794659206,0.0958729303352392,-0.0588808450554802,0.235579824584246
"74",1410,0.0991367565113812,0.0958627587768007,-0.0533627203880035,0.234687445121242
