"","AGE","MEAN","0.05","0.95"
"1",250,-0.0356540652376912,-0.257797406593713,0.176881292428892
"2",750,-0.0694161286753709,-0.252128786958985,0.11213979622038
"3",1250,-0.0813721038002167,-0.259686428672036,0.0908500376490156
"4",1750,-0.0507929166822563,-0.195926869400238,0.08201228020351
"5",2250,-0.243905266419838,-0.415921838243208,-0.071245536884823
"6",2750,-0.118734568869229,-0.278430585384252,0.0441007893243142
"7",3250,-0.0484987246363089,-0.207176544380572,0.128226149520893
"8",3750,-0.123976944367499,-0.293519677647009,0.0558165238930162
"9",4250,-0.139297872214585,-0.328122786862971,0.0319382353478328
"10",4750,-0.0210401116368932,-0.192701555953273,0.144992223182557
"11",5250,-0.17605764707372,-0.345473305741854,-0.0162388200937362
"12",5750,-0.248292780781964,-0.417879173690897,-0.0708376260499372
"13",6250,-0.425873187626221,-0.589287877387972,-0.254226300454173
"14",6750,-0.481301911473837,-0.662977463575355,-0.287953607045397
"15",7250,-0.250242879140444,-0.455796779176385,-0.0521899857941118
"16",7750,-0.141811654135474,-0.356113382243633,0.0672846261695211
"17",8250,0.09419326994826,-0.147760716132137,0.347503637954518
"18",8750,-0.0488750707380967,-0.279301839065009,0.182303108021253
"19",9250,0.184661591077589,-0.113054256225614,0.484818856838109
"20",9750,0.211483185486291,-0.0784447749379735,0.488976123967104
"21",10250,-0.288950526543296,-0.606768494046847,0.044219137118483
"22",10750,-0.445146247102606,-0.761587512502044,-0.0915348886651884
